Entity,Code,Day,lockdown,model_step
Azerbaijan,AZE,04/03/2020,1,3
Azerbaijan,AZE,05/03/2020,1,4
Azerbaijan,AZE,06/03/2020,1,5
Azerbaijan,AZE,07/03/2020,1,6
Azerbaijan,AZE,08/03/2020,1,7
Azerbaijan,AZE,09/03/2020,1,8
Azerbaijan,AZE,10/03/2020,1,9
Azerbaijan,AZE,11/03/2020,1,10
Azerbaijan,AZE,12/03/2020,1,11
Azerbaijan,AZE,13/03/2020,1,12
Azerbaijan,AZE,14/03/2020,1,13
Azerbaijan,AZE,15/03/2020,1,14
Azerbaijan,AZE,16/03/2020,1,15
Azerbaijan,AZE,17/03/2020,1,16
Azerbaijan,AZE,18/03/2020,1,17
Azerbaijan,AZE,19/03/2020,1,18
Azerbaijan,AZE,20/03/2020,1,19
Azerbaijan,AZE,21/03/2020,1,20
Azerbaijan,AZE,22/03/2020,1,21
Azerbaijan,AZE,23/03/2020,1,22
Azerbaijan,AZE,24/03/2020,1,23
Azerbaijan,AZE,25/03/2020,1,24
Azerbaijan,AZE,26/03/2020,1,25
Azerbaijan,AZE,27/03/2020,1,26
Azerbaijan,AZE,28/03/2020,1,27
Azerbaijan,AZE,29/03/2020,1,28
Azerbaijan,AZE,30/03/2020,1,29
Azerbaijan,AZE,31/03/2020,1,30
Bahrain,BHR,01/03/2020,1,0
Bahrain,BHR,02/03/2020,1,1
Bahrain,BHR,03/03/2020,1,2
Bahrain,BHR,04/03/2020,1,3
Bahrain,BHR,05/03/2020,1,4
Bahrain,BHR,06/03/2020,1,5
Bahrain,BHR,07/03/2020,1,6
Bahrain,BHR,08/03/2020,1,7
Bahrain,BHR,09/03/2020,1,8
Bahrain,BHR,10/03/2020,1,9
Bahrain,BHR,11/03/2020,1,10
Bahrain,BHR,12/03/2020,1,11
Bahrain,BHR,13/03/2020,1,12
Bahrain,BHR,14/03/2020,1,13
Bahrain,BHR,15/03/2020,1,14
Bahrain,BHR,16/03/2020,1,15
Bahrain,BHR,17/03/2020,1,16
Bahrain,BHR,18/03/2020,1,17
Bahrain,BHR,19/03/2020,1,18
Bahrain,BHR,20/03/2020,1,19
Bahrain,BHR,21/03/2020,1,20
Bahrain,BHR,22/03/2020,1,21
Bahrain,BHR,23/03/2020,1,22
Bahrain,BHR,24/03/2020,1,23
Bahrain,BHR,25/03/2020,1,24
Bahrain,BHR,26/03/2020,1,25
Bahrain,BHR,27/03/2020,1,26
Bahrain,BHR,28/03/2020,1,27
Bahrain,BHR,29/03/2020,1,28
Bahrain,BHR,30/03/2020,1,29
Bahrain,BHR,31/03/2020,1,30
Bangladesh,BGD,01/03/2020,0,0
Bangladesh,BGD,02/03/2020,0,1
Bangladesh,BGD,03/03/2020,0,2
Bangladesh,BGD,04/03/2020,0,3
Bangladesh,BGD,05/03/2020,0,4
Bangladesh,BGD,06/03/2020,0,5
Bangladesh,BGD,07/03/2020,0,6
Bangladesh,BGD,08/03/2020,0,7
Bangladesh,BGD,09/03/2020,0,8
Bangladesh,BGD,10/03/2020,0,9
Bangladesh,BGD,11/03/2020,0,10
Bangladesh,BGD,12/03/2020,0,11
Bangladesh,BGD,13/03/2020,0,12
Bangladesh,BGD,14/03/2020,0,13
Bangladesh,BGD,15/03/2020,0,14
Bangladesh,BGD,16/03/2020,1,15
Bangladesh,BGD,17/03/2020,1,16
Bangladesh,BGD,18/03/2020,1,17
Bangladesh,BGD,19/03/2020,1,18
Bangladesh,BGD,20/03/2020,1,19
Bangladesh,BGD,21/03/2020,1,20
Bangladesh,BGD,22/03/2020,1,21
Bangladesh,BGD,23/03/2020,1,22
Bangladesh,BGD,24/03/2020,1,23
Bangladesh,BGD,25/03/2020,1,24
Bangladesh,BGD,26/03/2020,1,25
Bangladesh,BGD,27/03/2020,1,26
Bangladesh,BGD,28/03/2020,1,27
Bangladesh,BGD,29/03/2020,1,28
Bangladesh,BGD,30/03/2020,1,29
Bangladesh,BGD,31/03/2020,1,30
Barbados,BRB,01/03/2020,0,0
Barbados,BRB,02/03/2020,0,1
Barbados,BRB,03/03/2020,0,2
Barbados,BRB,04/03/2020,0,3
Barbados,BRB,05/03/2020,0,4
Barbados,BRB,06/03/2020,0,5
Barbados,BRB,07/03/2020,0,6
Barbados,BRB,08/03/2020,0,7
Barbados,BRB,09/03/2020,0,8
Barbados,BRB,10/03/2020,0,9
Barbados,BRB,11/03/2020,0,10
Barbados,BRB,12/03/2020,0,11
Barbados,BRB,13/03/2020,0,12
Barbados,BRB,14/03/2020,0,13
Barbados,BRB,15/03/2020,0,14
Barbados,BRB,16/03/2020,0,15
Barbados,BRB,17/03/2020,0,16
Barbados,BRB,18/03/2020,0,17
Barbados,BRB,19/03/2020,1,18
Barbados,BRB,20/03/2020,1,19
Barbados,BRB,21/03/2020,1,20
Barbados,BRB,22/03/2020,1,21
Barbados,BRB,23/03/2020,1,22
